Index,Player Name,Team,Salary,Position,Age,GP,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,TRB,AST,STL,BLK,TOV,FOUL,PTS,PER,TS%,USG%,WS,BPM,VORP
0,Stephen Curry,GSW,48070014,PG,34,56,34.7,10.0,0.493,4.9,0.427,5.1,0.579,0.614,4.6,0.915,6.1,6.3,0.9,0.4,3.2,2.1,29.4,24.1,0.656,31.0,7.8,7.5,4.7
1,John Wall,LAC,47345760,PG,32,34,22.2,4.1,0.408,1.0,0.303,3.1,0.459,0.457,2.3,0.681,2.7,5.2,0.8,0.4,2.4,1.7,11.4,13.6,0.498,27.0,0.3,-1.2,0.1
2,Russell Westbrook,LAL/LAC,47080179,PG,34,73,29.1,5.9,0.436,1.2,0.311,4.7,0.487,0.481,2.8,0.656,5.8,7.5,1.0,0.5,3.5,2.2,15.9,16.1,0.513,27.7,1.9,0.2,1.2
3,LeBron James,LAL,44474988,PF,38,55,35.5,11.1,0.5,2.2,0.321,8.9,0.58,0.549,4.6,0.768,8.3,6.8,0.9,0.6,3.2,1.6,28.9,23.9,0.583,33.3,5.6,6.1,4.0
4,Kevin Durant,BRK/PHO,44119845,PF,34,47,35.6,10.3,0.56,2.0,0.404,8.3,0.617,0.614,6.5,0.919,6.7,5.0,0.7,1.4,3.3,2.1,29.1,25.9,0.677,30.7,6.8,7.1,3.9
5,Bradley Beal,WAS,43279250,SG,29,50,33.5,8.9,0.506,1.6,0.365,7.3,0.552,0.551,3.8,0.842,3.9,5.4,0.9,0.7,2.9,2.1,23.2,19.7,0.593,29.2,3.4,1.8,1.6
6,Kawhi Leonard,LAC,42492492,SF,31,52,33.6,8.6,0.512,2.0,0.416,6.6,0.551,0.572,4.7,0.871,6.5,3.9,1.4,0.5,1.7,1.6,23.8,23.9,0.623,27.0,7.1,6.1,3.5
7,Paul George,LAC,42492492,SF,32,56,34.6,8.2,0.457,2.8,0.371,5.4,0.521,0.536,4.6,0.871,6.1,5.1,1.5,0.4,3.1,2.8,23.8,19.6,0.588,29.5,4.6,2.8,2.3
8,Giannis Antetokounmpo,MIL,42492492,PF,28,63,32.1,11.2,0.553,0.7,0.275,10.5,0.596,0.572,7.9,0.645,11.8,5.7,0.8,0.8,3.9,3.1,31.1,29.0,0.605,38.8,8.6,8.5,5.4
9,Damian Lillard,POR,42492492,PG,32,58,36.3,9.6,0.463,4.2,0.371,5.4,0.574,0.564,8.8,0.914,4.8,7.3,0.9,0.3,3.3,1.9,32.2,26.7,0.645,33.8,9.0,7.1,4.9
